2026-03-10 07:23:14 info: Congratulations, your extension "Embold" is now active!
2026-03-10 07:23:14 info: ************* init ****************
2026-03-10 07:23:14 info: tempDirectory : /Users/tanmoy/.vscode/extensions/embold-vscode.embold-0.3.7/temp
2026-03-10 07:23:14 info: Extraction complete for source: /Users/tanmoy/.vscode/extensions/embold-vscode.embold-0.3.7/resources/embold-scanner-archive.zip, destination: /Users/tanmoy/.vscode/extensions/embold-vscode.embold-0.3.7/temp
2026-03-10 07:23:14 info: Extension installed on machine OS : darwin
2026-03-10 07:23:14 info: Loading issues from local database on startup (checkbox unchecked)
2026-03-10 07:23:14 info: Using emboldDBDir: /Users/tanmoy/Documents/forHer/for-her/.embold
2026-03-10 07:23:14 info: NO_PROXY set from VS Code http.noProxy: 
2026-03-10 07:23:14 info: NODE_TLS_REJECT_UNAUTHORIZED not set (SSL verification enabled)
2026-03-10 07:23:14 info: Using system certificates for SSL verification
2026-03-10 08:00:18 info: Row(s) deleted
2026-03-10 08:00:18 info: Row(s) deleted
2026-03-10 08:00:18 info: Row(s) deleted
2026-03-10 08:00:18 info: Row(s) deleted
2026-03-10 08:00:18 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
2026-03-10 08:00:19 info: Row(s) deleted
